route,month,avg_fare,passenger_share,pax_count,benchmark_type,source_document,publication_date,source_url
DEL-BOM,2026-01,,0.2835,549898,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-01,2026-03-15,https://www.dgca.gov.in/digigov-portal/
DEL-BLR,2026-01,,0.2144,415981,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-01,2026-03-15,https://www.dgca.gov.in/digigov-portal/
BOM-BLR,2026-01,,0.1734,336327,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-01,2026-03-15,https://www.dgca.gov.in/digigov-portal/
DEL-CCU,2026-01,,0.1384,268402,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-01,2026-03-15,https://www.dgca.gov.in/digigov-portal/
BLR-HYD,2026-01,,0.0923,179081,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-01,2026-03-15,https://www.dgca.gov.in/digigov-portal/
MAA-DEL,2026-01,,0.0981,190317,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-01,2026-03-15,https://www.dgca.gov.in/digigov-portal/
DEL-BOM,2026-02,,0.2878,553557,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-02,2026-04-15,https://www.dgca.gov.in/digigov-portal/
DEL-BLR,2026-02,,0.2223,427600,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-02,2026-04-15,https://www.dgca.gov.in/digigov-portal/
BOM-BLR,2026-02,,0.1635,314527,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-02,2026-04-15,https://www.dgca.gov.in/digigov-portal/
DEL-CCU,2026-02,,0.136,261672,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-02,2026-04-15,https://www.dgca.gov.in/digigov-portal/
BLR-HYD,2026-02,,0.0899,172963,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-02,2026-04-15,https://www.dgca.gov.in/digigov-portal/
MAA-DEL,2026-02,,0.1004,193080,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-02,2026-04-15,https://www.dgca.gov.in/digigov-portal/
DEL-BOM,2026-03,,0.2832,542603,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-03,2026-05-15,https://www.dgca.gov.in/digigov-portal/
DEL-BLR,2026-03,,0.2192,419883,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-03,2026-05-15,https://www.dgca.gov.in/digigov-portal/
BOM-BLR,2026-03,,0.1595,305606,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-03,2026-05-15,https://www.dgca.gov.in/digigov-portal/
DEL-CCU,2026-03,,0.1436,275206,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-03,2026-05-15,https://www.dgca.gov.in/digigov-portal/
BLR-HYD,2026-03,,0.0907,173779,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-03,2026-05-15,https://www.dgca.gov.in/digigov-portal/
MAA-DEL,2026-03,,0.1038,198855,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-03,2026-05-15,https://www.dgca.gov.in/digigov-portal/
DEL-BOM,2026-04,,0.2794,512238,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-04,2026-06-15,https://www.dgca.gov.in/digigov-portal/
DEL-BLR,2026-04,,0.2315,424379,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-04,2026-06-15,https://www.dgca.gov.in/digigov-portal/
BOM-BLR,2026-04,,0.1695,310755,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-04,2026-06-15,https://www.dgca.gov.in/digigov-portal/
DEL-CCU,2026-04,,0.1339,245477,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-04,2026-06-15,https://www.dgca.gov.in/digigov-portal/
BLR-HYD,2026-04,,0.0922,169098,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-04,2026-06-15,https://www.dgca.gov.in/digigov-portal/
MAA-DEL,2026-04,,0.0934,171299,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-04,2026-06-15,https://www.dgca.gov.in/digigov-portal/
DEL-BOM,2026-05,,0.2856,563682,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-05,2026-07-15,https://www.dgca.gov.in/digigov-portal/
DEL-BLR,2026-05,,0.2231,440321,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-05,2026-07-15,https://www.dgca.gov.in/digigov-portal/
BOM-BLR,2026-05,,0.1664,328416,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-05,2026-07-15,https://www.dgca.gov.in/digigov-portal/
DEL-CCU,2026-05,,0.1344,265368,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-05,2026-07-15,https://www.dgca.gov.in/digigov-portal/
BLR-HYD,2026-05,,0.0926,182762,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-05,2026-07-15,https://www.dgca.gov.in/digigov-portal/
MAA-DEL,2026-05,,0.098,193448,OFFICIAL_GOVERNMENT,DGCA Domestic City-Pair Monthly Scheduled Passenger Traffic Statistics 2026-05,2026-07-15,https://www.dgca.gov.in/digigov-portal/
