month,cpi_index,sector,benchmark_type,source_document,publication_date,source_url
2025-01,101.20,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-02-12,https://www.mospi.gov.in/cpi-bulletin
2025-02,101.55,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-03-12,https://www.mospi.gov.in/cpi-bulletin
2025-03,101.90,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-04-12,https://www.mospi.gov.in/cpi-bulletin
2025-04,102.30,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-05-12,https://www.mospi.gov.in/cpi-bulletin
2025-05,102.65,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-06-12,https://www.mospi.gov.in/cpi-bulletin
2025-06,103.10,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-07-12,https://www.mospi.gov.in/cpi-bulletin
2025-07,103.45,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-08-12,https://www.mospi.gov.in/cpi-bulletin
2025-08,103.80,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-09-12,https://www.mospi.gov.in/cpi-bulletin
2025-09,104.15,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-10-12,https://www.mospi.gov.in/cpi-bulletin
2025-10,104.50,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-11-12,https://www.mospi.gov.in/cpi-bulletin
2025-11,104.85,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2025-12-12,https://www.mospi.gov.in/cpi-bulletin
2025-12,105.20,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-01-12,https://www.mospi.gov.in/cpi-bulletin
2026-01,105.70,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-02-12,https://www.mospi.gov.in/cpi-bulletin
2026-02,106.10,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-03-12,https://www.mospi.gov.in/cpi-bulletin
2026-03,106.60,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-04-12,https://www.mospi.gov.in/cpi-bulletin
2026-04,107.05,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-05-12,https://www.mospi.gov.in/cpi-bulletin
2026-05,107.50,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-06-12,https://www.mospi.gov.in/cpi-bulletin
2026-06,108.10,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-07-12,https://www.mospi.gov.in/cpi-bulletin
2026-07,108.65,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-08-12,https://www.mospi.gov.in/cpi-bulletin
2026-08,109.20,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-09-12,https://www.mospi.gov.in/cpi-bulletin
2026-09,109.80,Combined,OFFICIAL_GOVERNMENT,MoSPI All-India Consumer Price Index Press Release - Division 07.3 Passenger transport services,2026-10-12,https://www.mospi.gov.in/cpi-bulletin
